column,eda_type,dtype,n_unique,missing,min,max,mean
country,other,object,175,427,,,
city,other,object,23462,0,,,
aqi_value,numeric,int64,347,0,6.0,500.0,72.01086817542513
aqi_category,category,object,6,0,,,
co_aqi_value,numeric,int64,34,0,0.0,133.0,1.3683672164684824
co_aqi_category,category,object,3,0,,,
ozone_aqi_value,numeric,int64,213,0,0.0,235.0,35.19370924434216
ozone_aqi_category,category,object,5,0,,,
no2_aqi_value,numeric,int64,59,0,0.0,91.0,3.0633337595362913
no2_aqi_category,category,string,2,0,,,
pm25_aqi_value,numeric,int64,383,0,0.0,500.0,68.51975450709628
pm25_aqi_category,category,object,6,0,,,
